County         PR  TP          D          R        Lib
APPLING        19  19      4,494      1,848         27 
ATKINSON        6   6      1,666        799          5 
BACON           7   7      2,853        930          7 
BAKER           7   7        821        936          7 
BALDWIN        16  16      7,709      6,775         63 
BANKS          15  15      4,410      1,149         31 
BARROW         15  15     13,520      4,095        112 
BARTOW         19  19     22,311      7,741        180 
BENHILL        7   7      3,331      2,180         25 
BERRIEN        11  11      3,917      1,638         37 
BIBB           52  52     28,107     29,322        258 
BLECKLEY        3   3      3,167      1,281         19 
BRANTLEY       11  11      4,333      1,258         27 
BROOKS         11  11      2,912      2,193          8 
BRYAN          11  11      7,363      2,590         30 
BULLOCH        16  16     12,252      6,840         79 
BURKE          17  17      4,232      4,213         34 
BUTTS          12  12      5,119      2,572         43 
CALHOUN         7   7        890      1,119         10 
CAMDEN         16  16      9,488      4,637         50 
CANDLER         4   4      2,048      1,096          7 
CARROLL        34  34     24,837     10,224        217 
CATOOSA        14  14     16,406      5,807         91 
CHARLTON       11  11      2,311      1,064         12 
CHATHAM       110 110     45,484     45,630        401 
CHATTAHOOCHEE   3   3        905        773         10 
CHATTOOGA      15  15      4,992      2,809         46 
CHEROKEE       46  46     58,238     14,824        525 
CLARKE         26  26     15,052     21,718        465 
CLAY            7   7        509        798          2 
CLAYTON        55  55     23,106     56,113        327 
CLINCH          7   7      1,501        750         14 
COBB          207 207    173,467    103,955      2,051 
COFFEE          8   8      8,306      3,979         42 
COLQUITT       21  21      8,296      3,378         56 
COLUMBIA       45  45     35,549     11,442        153 
COOK           10  10      3,065      1,733         18 
COWETA         30  30     31,682     10,647        216 
CRAWFORD        8   8      2,830      1,552         20 
CRISP           8   8      3,865      2,357         28 
DADE            9   9      4,368      1,823         39 
DAWSON         10  10      6,649      1,407         57 
DECATUR        16  16      5,348      3,577         26 
DEKALB        195 195     73,570    200,787      1,782 
DODGE          18  18      4,584      2,384         27 
DOOLY           7   7      1,853      1,973         18 
DOUGHERTY      31  31     13,711     19,805        131 
DOUGLAS        24  24     25,846     15,997        222 
EARLY          13  13      2,495      1,701         17 
ECHOLS          3   3        757        231          3 
EFFINGHAM      23  23     12,503      3,613         51 
ELBERT         13  13      4,626      2,984         46 
EMANUEL        16  16      4,666      2,774         28 
EVANS          12  12      2,291      1,213         10 
FANNIN         13  13      6,862      2,727         61 
FAYETTE        38  38     37,346     14,887        295 
FLOYD          27  27     21,400     10,038        187 
FORSYTH        32  32     47,267      9,201        358 
FRANKLIN       15  15      5,218      2,245         39 
FULTON        338 338    134,372    199,436      2,216 
GILMER         15  15      7,414      2,510         74 
GLASCOCK        6   6      1,016        250          3 
GLYNN          26  26     18,608      8,962        122 
GORDON         16  16     11,671      4,028         76 
GRADY          15  15      5,068      3,092         31 
GREENE         10  10      4,069      2,774         29 
GWINNETT      150 150    160,445     81,708      1,764 
HABERSHAM      16  16     10,434      2,750         61 
HALL           41  41     38,883     10,514        299 
HANCOCK         9   9        822      2,715         13 
HARALSON       14  14      7,703      2,434         56 
HARRIS         14  14      8,878      3,400         53 
HART            9   9      5,500      3,479         42 
HEARD          11  11      2,788      1,148         19 
HENRY          34  34     42,759     21,096        298 
HOUSTON        30  30     29,862     15,054        237 
IRWIN          10  10      2,347      1,051         16 
JACKSON        16  16     12,611      3,468         91 
JASPER          9   9      3,157      1,558         25 
JEFFDAVIS     11  11      3,549      1,277         18 
JEFFERSON      10  10      3,066      3,447         22 
JENKINS         7   7      1,898      1,494         11 
JOHNSON         9   9      2,279      1,263         11 
JONES          13  13      6,939      3,855         51 
LAMAR           8   8      4,027      2,432         35 
