County  R  D L Total
Appling	5233	1758	92	7,083
Atkinson	1938	930	34	2,902
Bacon	3093	791	46	3,930
Baker	785	794	10	1,589
Baldwin	7589	8483	160	16,232
Banks	5354	780	59	6,193
Barrow	18725	6028	433	25,186
Bartow	26876	8396	510	35,782
BenHill	3396	2512	44	5,952
Berrien	4843	1273	84	6,200
Bibb	25623	38585	482	64,690
Bleckley	3587	1269	51	4,907
Brantley	4964	939	99	6,002
Brooks	3554	3138	50	6,742
Bryan	9560	3707	172	13,439
Bulloch	14174	9593	302	24,069
Burke	4301	5405	72	9,778
Butts	6306	2968	100	9,374
Calhoun	883	1298	7	2,188
Camden	11343	6377	263	17,983
Candler	2344	1157	27	3,528
Carroll	28280	12688	563	41,531
Catoosa	17858	5365	434	23,657
Charlton	2527	1197	39	3,763
Chatham	47204	60246	1111	108,561
Chattahoochee	735	729	26	1,490
Chattooga	5452	2232	138	7,822
Cherokee	76514	19841	1758	98,113
Clarke	13815	25431	950	40,196
Clay	537	862	3	1,402
Clayton	14164	81479	424	96,067
Clinch	1598	852	22	2,472
Cobb	171722	133124	5024	309,870
Coffee	9248	5057	144	14,449
Colquitt	9243	3973	108	13,324
Columbia	41765	16451	699	58,915
Cook	3935	2042	51	6,028
Coweta	39653	15168	723	55,544
Crawford	3368	1706	58	5,132
Crisp	4182	3167	47	7,396
Dade	4471	1411	135	6,017
Dawson	8847	1241	150	10,238
Decatur	5824	4591	69	10,484
DeKalb	64392	238224	3292	305,908
Dodge	5214	2442	77	7,733
Dooly	1985	2285	28	4,298
Dougherty	11449	26295	172	37,916
Douglas	26241	28441	565	55,247
Early	2557	2765	31	5,353
Echols	917	173	12	1,102
Effingham	15596	4947	248	20,791
Elbert	4859	3181	103	8,143
Emanuel	5100	2927	55	8,082
Evans	2268	1268	27	3,563
Fannin	7857	2028	127	10,012
Fayette	38075	19736	726	58,537
Floyd	22733	9640	456	32,829
Forsyth	65908	14571	1203	81,682
Franklin	6114	1499	146	7,759
Fulton	137124	255470	4661	397,255
Gilmer	8926	1958	134	11,018
Glascock	1135	176	22	1,333
Glynn	20893	11950	281	33,124
Gordon	13197	3440	249	16,886
Grady	5924	3419	50	9,393
Greene	5071	3201	51	8,323
Gwinnett	159855	132509	4132	296,496
Habersham	12166	2301	155	14,622
Hall	47481	12999	844	61,324
Hancock	769	3308	11	4,088
Haralson	8446	1789	137	10,372
Harris	11197	4145	145	15,487
Hart	6517	2870	116	9,503
Heard	3160	948	61	4,169
Henry	46774	43761	813	91,348
Houston	34662	22702	639	58,003
Irwin	2538	1141	30	3,709
Jackson	19135	4238	313	23,686
Jasper	4136	1845	50	6,031
JeffDavis	3996	1275	65	5,336
Jefferson	2999	4261	38	7,298
Jenkins	1887	1488	15	3,390
Johnson	2440	1305	27	3,772
Jones	7744	4274	87	12,105
Lamar	4899	2602	91	7,592
Lanier	1820	1114	38	2,972
Laurens	11950	7513	136	19,599
Lee	10314	3196	110	13,620
Liberty	5565	10457	147	16,169
Lincoln	2807	1586	33	4,426
Long	2306	1442	52	3,800
Lowndes	21327	17470	323	39,120
Lumpkin	8647	2055	196	10,898
Macon	1545	3211	25	4,781
Madison	8443	2494	152	11,089
Marion	1733	1412	25	3,170
McDuffie	5475	4044	70	9,589
McIntosh	3409	2864	68	6,341
Meriwether	4856	4331	76	9,263
Miller	1905	852	18	2,775
Mitchell	4155	4081	39	8,275
Monroe	8361	3785	128	12,274
Montgomery	2662	1135	34	3,831
Morgan	6186	2753	88	9,027
Murray	8443	2542	228	11,213
Muscogee	27510	42573	484	70,567
Newton	20982	21851	393	43,226
Oconee	13098	4421	288	17,807
Oglethorpe	4251	1914	95	6,260
Paulding	40846	15825	704	57,375
Peach	5287	6148	78	11,513
Pickens	10547	1975	151	12,673
Pierce	5667	1124	55	6,846
Pike	6668	1356	84	8,108
Polk	9811	3615	175	13,601
Pulaski	2444	1219	18	3,681
Putnam	6215	2926	78	9,219
Quitman	510	612	6	1,128
Rabun	5754	1559	128	7,441
Randolph	1271	1770	17	3,058
Richmond	25845	52560	583	78,988
Rockdale	15716	22023	330	38,069
Schley	1286	448	14	1,748
Screven	3287	2774	39	6,100
Seminole	2245	1478	46	3,769
Spalding	14911	9898	272	25,081
Stephens	7221	2131	137	9,489
Stewart	745	1323	8	2,076
Sumter	5378	6375	78	11,831
Talbot	1202	2265	24	3,491
Taliaferro	323	636	4	963
Tattnall	4706	1897	62	6,665
Taylor	1948	1572	18	3,538
Telfair	2480	1805	51	4,336
Terrell	1834	2544	20	4,398
Thomas	11156	7653	139	18,948
Tift	9185	4660	82	13,927
Toombs	6524	2746	74	9,344
Towns	4876	1273	62	6,211
Treutlen	1652	1074	24	2,750
Troup	15179	10547	260	25,986
Turner	2028	1510	21	3,559
Twiggs	1907	2270	25	4,202
Union	8773	2139	164	11,076
Upson	7230	3959	74	11,263
Walker	16247	5274	365	21,886
Walton	29036	8148	413	37,597
Ware	7941	3900	98	11,939
Warren	990	1529	7	2,526
Washington	4035	4714	58	8,807
Wayne	7557	2596	111	10,264
Webster	601	582	4	1,187
Wheeler	1366	772	22	2,160
White	8651	1671	154	10,476
Whitfield	19305	7210	346	26,861
Wilcox	2053	1060	15	3,128
Wilkes	2635	2087	39	4,761
Wilkinson	2246	2181	23	4,450
Worth	5869	2487	60	8,416
