County	Precincts	Registered	L	Buchanan	R	D	N	Harris	Nader	Phillips
Adams	35	17,650	20	63	6,380	3,581	16	0	162	13
Allen	171	67,950	134	193	28,647	13,996	45	0	760	20
Ashland	65	30,988	63	374	13,533	6,685	17	0	563	23
Ashtabula	127	66,390	141	338	17,940	19,831	62	0	1,109	51
Athens	69	48,356	123	743	9,703	13,158	31	0	1,663	26
Auglaize	43	28,693	43	104	13,770	5,564	20	0	372	19
Belmont	85	51,504	91	657	12,625	15,980	33	0	723	32
Brown	44	26,955	49	83	10,027	5,972	16	0	269	13
Butler	280	216,275	427	431	86,587	46,390	104	0	2,708	90
Carroll	26	19,075	39	207	6,732	4,960	31	0	271	21
Champaign	50	26,792	43	80	9,220	5,955	24	0	346	12
Clark	112	89,550	202	221	27,660	27,984	94	0	1,347	51
Clermont	191	114,186	225	178	47,129	20,927	90	0	1,303	25
Clinton	36	24,023	48	50	9,824	4,791	16	0	325	16
Columbiana	103	74,297	95	557	21,804	20,657	46	0	1,217	51
Coshocton	43	21,066	36	73	8,243	5,594	13	0	295	14
Crawford	67	31,344	44	161	11,666	6,721	27	0	536	21
Cuyahoga	1,505	1,010,726	1,374	3,040	192,099	359,913	868	5	16,956	527
Darke	53	36,088	75	119	14,817	7,741	36	0	452	27
Defiance	46	25,783	34	99	9,540	6,175	15	0	365	14
Delaware	111	80,132	162	162	36,639	17,134	60	0	1,212	34
Erie	101	55,777	57	205	16,105	17,732	31	0	872	13
Fairfield	118	81,544	138	168	33,523	19,065	51	0	1,115	34
Fayette	40	14,713	11	37	5,685	3,363	9	0	165	8
Franklin	760	681,949	1,427	1,114	197,862	202,018	625	2	10,702	324
Fulton	36	27,840	34	92	11,546	6,805	24	0	376	19
Gallia	36	21,681	29	97	7,511	4,872	28	0	215	24
Geauga	93	62,518	153	236	25,417	15,327	38	0	1,405	24
Greene	140	98,261	242	179	37,946	25,059	136	0	1,592	50
Guernsey	71	24,452	36	120	8,181	6,643	22	0	405	23
Hamilton	1,025	585,985	1,242	1,084	204,175	161,578	389	1	9,222	208
Hancock	67	46,334	84	119	20,985	8,798	21	0	592	18
Hardin	38	19,716	50	57	7,124	4,557	19	0	243	18
Harrison	24	11,052	23	151	3,417	3,351	14	0	192	13
Henry	33	19,503	32	43	8,530	4,367	12	0	258	10
Highland	46	24,818	43	77	9,728	5,328	15	0	245	11
Hocking	31	16,881	35	217	5,702	4,474	17	0	291	20
Holmes	27	16,766	21	96	6,754	2,066	11	0	172	25
Huron	69	37,533	60	213	12,286	8,183	43	0	560	15
Jackson	40	23,118	33	90	6,958	5,131	47	0	222	9
Jefferson	108	55,278	92	1,048	15,038	17,488	39	0	897	34
Knox	51	35,140	76	123	13,393	7,133	53	0	452	30
Lake	217	152,858	269	695	51,747	46,497	110	0	3,166	80
Lawrence	84	44,032	36	124	12,531	11,307	28	0	402	24
Licking	139	98,787	185	264	37,180	23,196	83	0	1,498	60
Logan	52	30,494	55	107	11,849	5,945	21	1	449	28
Lorain	246	185,982	253	745	47,957	59,809	152	0	3,183	81
Lucas	548	298,505	519	562	73,342	108,344	230	0	4,227	126
Madison	44	23,221	44	75	8,892	5,287	52	0	299	18
Mahoning	416	179,545	183	815	40,460	69,212	75	0	3,322	52
Marion	90	41,788	46	142	13,617	10,370	34	0	588	18
Medina	146	102,535	198	532	37,349	26,635	149	0	1,960	60
Meigs	27	16,242	33	76	5,750	3,674	25	0	226	11
Mercer	40	25,079	43	125	12,485	5,212	24	0	392	13
Miami	82	66,765	173	116	26,037	15,584	37	0	879	15
Monroe	29	11,156	28	160	3,145	3,605	15	0	149	13
Montgomery	643	371,790	827	594	109,792	114,597	296	0	4,690	191
Morgan	22	9,405	11	72	3,451	2,261	9	0	177	12
Morrow	36	21,184	33	97	7,842	4,529	21	0	305	12
Muskingum	85	54,355	79	176	17,995	13,415	39	0	882	38
Noble	27	8,408	13	75	3,435	2,296	6	0	154	9
Ottawa	78	28,726	41	71	9,917	9,485	17	0	432	5
Paulding	30	14,104	25	62	5,210	3,384	12	0	242	11
Perry	46	18,102	28	97	6,440	5,895	17	0	334	17
Pickaway	52	29,155	45	68	10,717	6,598	23	0	276	13
Pike	24	20,396	31	66	5,333	4,923	23	0	176	8
Portage	122	100,554	216	446	28,271	31,446	120	0	2,340	60
Preble	46	27,718	95	82	11,176	6,375	27	0	404	7
Putnam	51	24,105	45	124	12,837	4,063	15	0	254	6
Richland	131	82,059	120	533	30,138	20,572	53	0	1,306	57
Ross	76	39,400	60	122	13,706	11,662	30	0	421	15
Sandusky	90	40,769	86	157	13,699	11,146	39	0	587	30
Scioto	107	49,729	85	159	15,022	13,997	39	0	590	53
Seneca	73	35,917	55	183	13,863	9,512	53	0	666	19
Shelby	67	29,578	50	115	12,476	6,593	27	0	392	17
Stark	364	240,794	425	1,499	78,153	75,308	226	0	4,032	201
Summit	624	354,189	626	1,363	96,721	119,759	264	1	5,955	150
Trumbull	284	145,019	200	844	34,654	57,643	95	0	2,749	54
Tuscarawas	81	57,546	95	420	19,549	15,879	80	0	1,061	34
Union	47	25,981	50	64	11,502	5,040	11	0	336	21
VanWert	39	21,841	39	62	8,679	4,209	11	0	216	3
Vinton	20	8,595	13	42	2,720	2,037	15	0	110	9
Warren	142	96,536	248	207	48,318	19,142	59	0	1,067	37
Washington	81	40,969	77	108	15,342	10,383	22	0	571	12
Wayne	100	62,395	112	398	25,901	14,779	44	0	1,171	31
Williams	44	26,683	36	101	9,941	5,454	24	0	347	16
Wood	104	84,715	134	210	27,504	22,687	90	0	1,536	33
Wyandot	40	15,167	24	70	6,113	3,397	19	0	191	13
