County	Badnarik	R	Cobb	Duncan 	Harris	D	Parker	Peroutka	Schriner	Zych
Adams	35	7,653	0	0	0	4,281	0	31	0	0
Allen	134	32,580	1	0	0	16,470	0	64	7	0
Ashland	70	16,209	1	0	0	8,576	0	122	1	0
Ashtabula	145	21,038	2	0	0	24,060	0	161	1	0
Athens	104	10,847	3	0	0	18,998	0	93	0	0
Auglaize	66	17,016	0	0	0	5,903	0	47	2	0
Belmont	88	15,589	0	0	0	17,576	0	66	3	0
Brown	52	12,647	0	0	0	7,140	0	53	0	0
Butler	412	109,872	6	0	0	56,243	0	286	0	0
Carroll	59	7,695	1	0	0	6,300	0	57	0	0
Champaign	47	11,718	0	0	0	6,968	0	43	0	0
Clark	185	34,941	0	0	0	33,535	0	146	0	0
Clermont	149	62,949	4	0	0	25,887	0	89	0	1
Clinton	31	12,938	1	0	0	5,417	0	27	0	0
Columbiana	125	25,753	2	1	1	23,429	0	150	1	3
Coshocton	15	9,839	1	0	0	7,378	0	68	2	0
Crawford	71	13,885	0	0	0	7,773	0	72	0	0
Cuyahoga	1,885	221,600	13	0	9	448,503	2	1,752	12	1
Darke	82	18,306	0	0	0	7,846	0	79	0	0
Defiance	67	11,397	0	0	0	6,975	0	77	0	0
Delaware	171	53,143	1	0	0	27,048	0	92	1	0
Erie	49	18,597	0	0	0	21,421	0	18	0	0
Fairfield	190	42,715	0	0	0	24,783	0	191	3	0
Fayette	28	7,376	0	0	0	4,334	0	19	0	0
Franklin	1,615	237,253	20	0	1	285,801	0	1,129	7	1
Fulton	45	13,640	1	0	0	8,224	0	44	0	0
Gallia	30	8,576	0	0	0	5,366	0	21	0	0
Geauga	104	30,370	2	5	0	19,850	0	103	7	1
Greene	215	48,388	3	0	0	30,531	0	144	1	0
Guernsey	45	9,962	1	0	0	7,768	0	63	1	0
Hamilton	1,021	222,616	66	4	10	199,679	0	621	8	0
Hancock	66	25,105	2	0	0	10,352	0	74	20	0
Hardin	32	8,441	0	0	0	4,891	0	28	0	0
Harrison	24	4,274	0	0	0	3,780	0	31	0	0
Henry	40	9,902	0	0	0	5,111	0	52	0	0
Highland	41	12,211	0	0	0	6,194	0	35	0	0
Hocking	44	6,936	0	0	0	6,175	0	44	0	0
Holmes	22	8,468	1	0	0	2,697	0	32	0	0
Huron	86	14,817	0	0	0	10,568	0	86	1	0
Jackson	32	8,585	0	0	0	5,700	0	17	0	0
Jefferson	85	17,185	0	1	0	19,024	0	77	0	0
Knox	73	17,068	2	0	0	9,820	0	78	4	0
Lake	319	62,193	8	0	0	59,049	0	253	1	0
Lawrence	81	15,455	0	0	0	12,120	0	54	0	0
Licking	173	49,016	1	0	0	30,053	0	176	1	0
Logan	41	14,471	0	0	0	6,825	0	61	0	0
Lorain	325	61,203	3	0	0	78,970	0	234	7	0
Lucas	295	87,160	15	0	0	132,715	0	243	2	0
Madison	41	11,117	0	0	0	6,203	0	37	0	0
Mahoning	524	48,761	2	0	0	83,194	0	418	5	0
Marion	89	17,171	0	0	0	11,930	0	68	0	0
Medina	227	48,196	0	0	0	36,272	0	183	0	0
Meigs	30	6,272	0	0	0	4,438	0	31	0	0
Mercer	74	15,650	0	0	0	5,118	0	46	2	0
Miami	103	33,992	2	0	0	17,606	0	56	1	0
Monroe	29	3,424	0	0	0	4,243	0	33	0	0
Montgomery	666	138,371	8	0	0	142,997	0	540	2	0
Morgan	32	3,758	0	0	0	2,875	0	38	0	0
Morrow	39	10,474	0	0	0	5,775	0	40	0	0
Muskingum	84	22,254	1	0	0	16,421	0	106	0	0
Noble	24	3,841	0	0	0	2,654	0	21	0	0
Ottawa	47	12,073	2	0	0	11,118	0	19	0	0
Paulding	31	6,206	0	0	0	3,610	0	32	0	0
Perry	29	7,856	0	0	0	7,257	0	47	0	0
Pickaway	72	14,161	0	0	0	8,579	0	40	0	0
Pike	34	6,520	0	0	0	5,989	0	33	0	0
Portage	219	35,583	4	4	0	40,675	0	162	0	0
Preble	69	13,734	0	0	0	7,274	0	50	0	0
Putnam	46	14,370	0	0	0	4,392	0	40	1	0
Richland	131	36,872	0	0	0	24,638	0	199	0	0
Ross	384	17,231	0	0	0	13,978	0	78	0	0
Sandusky	53	16,224	0	0	0	12,686	0	48	2	1
Scioto	67	18,259	0	0	0	16,827	0	50	0	0
Seneca	76	15,886	0	0	0	10,957	0	71	1	0
Shelby	56	16,204	0	0	0	6,535	0	60	0	0
Stark	484	92,215	0	0	0	95,337	0	420	2	1
Summit	663	118,558	4	1	1	156,587	0	504	1	1
Trumbull	269	40,977	2	1	0	66,673	0	223	0	0
Tuscarawas	116	23,829	0	0	0	18,853	0	108	0	0
Union	58	15,870	0	0	0	6,665	0	38	0	0
VanWert	26	10,678	0	0	0	4,095	0	28	0	0
Vinton	19	3,249	0	0	0	2,651	0	9	0	0
Warren	193	68,037	3	0	0	26,044	0	144	1	0
Washington	77	17,532	0	0	0	12,538	0	69	0	0
Wayne	91	31,879	1	0	0	19,786	0	90	0	1
Williams	58	12,040	1	0	0	6,481	0	58	1	0
Wood	178	33,592	1	0	0	29,401	0	172	2	0
Wyandot	54	7,254	0	0	0	3,708	0	27	0	0
